id;title;description;cover_image_url;is_public;created_at;teacher_profile_id
1;correctly;../fake-data/blob/hipster.txt;tough;false;2026-01-08T02:57:13;1
2;seldom;../fake-data/blob/hipster.txt;demonstrate pace tomography;true;2026-01-07T21:53:40;2
3;decryption likewise;../fake-data/blob/hipster.txt;lounge lest woot;false;2026-01-08T09:10:12;1
4;pike;../fake-data/blob/hipster.txt;councilman;false;2026-01-08T11:22:58;2
5;punctually;../fake-data/blob/hipster.txt;pfft boohoo yum;false;2026-01-08T03:00:08;2
6;meh;../fake-data/blob/hipster.txt;energetically truly unethically;false;2026-01-07T23:53:46;2
7;frightfully if furiously;../fake-data/blob/hipster.txt;since pick;false;2026-01-08T06:24:16;2
8;foot;../fake-data/blob/hipster.txt;since eyeliner;false;2026-01-08T00:34:11;2
9;quicker log;../fake-data/blob/hipster.txt;bulky;true;2026-01-08T02:53:21;1
10;about;../fake-data/blob/hipster.txt;voluntarily optimistic;true;2026-01-08T04:36:53;2
