id;title;level;description;thumbnail;is_active;average_rating;total_reviews
1;Korean From Scratch;BEGINNER;A beginner's guide to the Korean language, starting with Hangul.;/content/images/book-1.png;true;4.5;120
2;Essential Korean Grammar;BEGINNER;Focuses on the most important grammar points for new learners.;/content/images/book-2.png;true;4.7;95
3;Intermediate Korean Voices;INTERMEDIATE;A collection of short stories and dialogues for intermediate learners.;/content/images/book-3.png;true;4.6;75
4;TOPIK I Preparation Guide;BEGINNER;Everything you need to know to pass the TOPIK I exam.;/content/images/book-4.png;true;4.8;150
5;Advanced Korean Listening;ADVANCED;Challenge your listening skills with real-world news clips and interviews.;/content/images/book-5.png;true;4.4;60
6;Everyday Korean Conversations;BEGINNER;Learn practical phrases for daily situations like ordering coffee or asking for directions.;/content/images/book-6.png;true;4.9;210
7;Korean for Business;INTERMEDIATE;Master the language of the Korean workplace, from emails to meetings.;/content/images/book-7.png;true;4.5;88
8;The Sound of Korean: Pronunciation Drills;BEGINNER;Perfect your pronunciation with focused exercises and audio examples.;/content/images/book-8.png;true;4.7;110
9;Reading Modern Korean Literature;ADVANCED;An introduction to contemporary Korean novels and short stories.;/content/images/book-9.png;true;4.3;45
10;Slang and Idioms in Korean;INTERMEDIATE;Understand what native speakers *really* say.;false;4.6;92
