id;is_completed;updated_at;is_bookmarked;score;last_accessed_at;completion_percentage;is_vocabulary_finished;is_grammar_finished;is_exercise_finished;user_profile_id;unit_id
1;true;2026-01-10T08:00:00;false;95;2026-01-10T07:30:00;100;true;true;true;4;1
2;true;2026-01-10T10:00:00;true;88;2026-01-10T09:30:00;100;true;true;true;4;2
3;false;2026-01-10T14:00:00;false;0;2026-01-10T13:00:00;65;true;true;false;4;3
4;true;2026-01-11T09:00:00;true;92;2026-01-11T08:30:00;100;true;true;true;4;4
5;false;2026-01-11T11:00:00;false;0;2026-01-11T10:30:00;33;true;false;false;4;5
6;false;2026-01-11T15:00:00;false;0;2026-01-11T14:00:00;0;false;false;false;4;6
7;true;2026-01-12T10:00:00;true;90;2026-01-12T09:00:00;100;true;true;true;4;7
8;false;2026-01-12T14:00:00;false;0;2026-01-12T13:30:00;50;true;false;false;4;8
9;false;2026-01-13T09:00:00;true;0;2026-01-13T08:00:00;30;true;false;false;4;9
10;false;2026-01-13T11:00:00;false;0;2026-01-13T10:30:00;0;false;false;false;4;10
