id;app_user_id;book_id;enrolled_at;progress_percentage;completed_at;last_accessed_at
1;4;1;2023-01-15 10:00:00;75;null;2023-03-20 14:00:00
2;5;2;2023-01-20 11:30:00;100;2023-03-10 18:00:00;2023-03-10 18:00:00
3;6;3;2023-02-01 09:00:00;50;null;2023-03-18 11:00:00
4;7;4;2023-02-10 14:00:00;90;null;2023-03-22 09:30:00
5;8;6;2023-02-15 16:00:00;100;2023-03-15 20:00:00;2023-03-15 20:00:00
6;9;7;2023-03-01 10:00:00;25;null;2023-03-19 16:00:00
7;10;1;2023-03-02 13:00:00;100;2023-03-21 17:00:00;2023-03-21 17:00:00
8;11;8;2023-03-05 15:00:00;60;null;2023-03-23 10:00:00
9;12;2;2023-03-10 11:00:00;30;null;2023-03-20 12:00:00
10;13;6;2023-03-12 18:00:00;80;null;2023-03-22 18:00:00
11;14;7;2023-03-15 09:30:00;15;null;2023-03-18 09:30:00
12;15;1;2023-03-16 12:00:00;95;null;2023-03-23 13:00:00
13;4;6;2023-03-20 15:00:00;20;null;2023-03-22 15:00:00
14;5;4;2023-03-21 10:00:00;10;null;2023-03-21 10:00:00
