id;word;phonetic;meaning;example;image_url;order_index;unit_id
1;hello;həˈloʊ;xin chào;Hello! My name is John.;https://images.unsplash.com/photo-1517486808906-6ca8b3f04846?w=200;1;1
2;goodbye;ɡʊdˈbaɪ;tạm biệt;Goodbye! See you tomorrow.;https://images.unsplash.com/photo-1516726817505-f5ed825624d8?w=200;2;1
3;nice to meet you;naɪs tə miːt juː;rất vui được gặp bạn;Nice to meet you, Sarah!;;3;1
4;how are you;haʊ ɑːr juː;bạn khỏe không;How are you today?;;4;1
5;thank you;θæŋk juː;cảm ơn;Thank you for your help!;;5;1
6;one;wʌn;một;I have one apple.;;1;2
7;ten;tɛn;mười;There are ten students in the class.;;2;2
8;hundred;ˈhʌndrəd;một trăm;This book costs one hundred dollars.;;3;2
9;first;fɜːrst;đầu tiên;This is my first English lesson.;;4;2
10;second;ˈsɛkənd;thứ hai;The second chapter is very interesting.;;5;2
11;monday;ˈmʌndeɪ;thứ hai;I go to school on Monday.;;1;3
12;january;ˈdʒænjueri;tháng một;January is the first month of the year.;;2;3
13;today;təˈdeɪ;hôm nay;Today is a beautiful day.;;3;3
14;tomorrow;təˈmɒroʊ;ngày mai;I will call you tomorrow.;;4;3
15;yesterday;ˈjɛstərdeɪ;hôm qua;Yesterday was my birthday.;;5;3
16;work;wɜːrk;làm việc;I work at a bank.;;1;4
17;study;ˈstʌdi;học;I study English every day.;;2;4
18;eat;iːt;ăn;I eat breakfast at 7 AM.;;3;4
19;sleep;sliːp;ngủ;I sleep for 8 hours.;;4;4
20;go;ɡoʊ;đi;I go to work by bus.;;5;4
21;meeting;ˈmiːtɪŋ;cuộc họp;We have a meeting at 3 PM.;;1;7
22;email;ˈiːmeɪl;thư điện tử;Please check your email.;;2;7
23;deadline;ˈdedlaɪn;thời hạn;The deadline is next Friday.;;3;7
24;presentation;ˌprɛzənˈteɪʃən;bài thuyết trình;I have a presentation tomorrow.;;4;7
25;colleague;ˈkɒliːɡ;đồng nghiệp;My colleague is very helpful.;;5;7
