id;text;meaning;pronunciation;part_of_speech;image_url;chapter_id
1;안녕하세요;Hello;annyeonghaseyo;INTERJECTION;/content/images/word-1.png;1
2;감사합니다;Thank you;gamsahamnida;INTERJECTION;/content/images/word-2.png;1
3;네;Yes;ne;INTERJECTION;/content/images/word-3.png;2
4;아니요;No;aniyo;INTERJECTION;/content/images/word-4.png;2
5;학생;Student;haksaeng;NOUN;/content/images/word-5.png;4
6;선생님;Teacher;seonsaengnim;NOUN;/content/images/word-6.png;4
7;먹다;To eat;meokda;VERB;/content/images/word-7.png;5
8;마시다;To drink;masida;VERB;/content/images/word-8.png;5
9;재미있다;To be interesting/fun;jaemiitda;ADJECTIVE;/content/images/word-9.png;7
10;어렵다;To be difficult;eoryeopda;ADJECTIVE;/content/images/word-10.png;7
11;날씨;Weather;nalssi;NOUN;/content/images/word-11.png;13
12;비;Rain;bi;NOUN;/content/images/word-12.png;13
13;쇼핑;Shopping;syoping;NOUN;/content/images/word-13.png;17
14;시장;Market;sijang;NOUN;/content/images/word-14.png;17
15;이메일;Email;imeil;NOUN;/content/images/word-15.png;19
16;회의;Meeting;hoeui;NOUN;/content/images/word-16.png;20
17;소설;Novel;soseol;NOUN;/content/images/word-17.png;24
18;문학;Literature;munhak;NOUN;/content/images/word-18.png;24
19;대박;Awesome / Jackpot;daebak;SLANG;/content/images/word-19.png;26
20;꿀잼;Super fun;kkuljaem;SLANG;/content/images/word-20.png;26
